id;name;description;category;price;link
11;Мяч футбольный INGAME FLYER;Мяч футбольный 5 Ingame Flyer с ярким дизайнерским принтом находится в любительской линейке Ingame Basik, предназначен для игры в футбол на следующих поверхностях: натуральный газон, синтетическая трава, резина, паркет.;Мяч футбольный стандартный;981;https://www.wildberries.ru/catalog/50569810/detail.aspx?size=96122496
12;Мяч футбольный JAZZ 5;Футбольный мяч JAZZ разработан специально для профессиональных матчей и тренировок, совмещая новейшие технологии и качественные материалы, чтобы обеспечить отличные игровые характеристики и продолжительный срок службы. ;Мяч футбольный профессиональный;2 902;https://www.wildberries.ru/catalog/237904716/detail.aspx?size=374392131
13;Баскетбольный мяч ALLEY OOP размер 7;Баскетбольный мяч 7 ALLEY OP – рекомендован для любительской игры и создан специально для уличного баскетбола. Состоит из 9 панелей, материал поверхности Super Soft Rubber придающий дополнительную мягкость и износостойкость. ;Мяч баскетбольный разноцветный;1 020;https://www.wildberries.ru/catalog/63545332/detail.aspx?size=111760782
14;Спортивный баскетбольный мяч 7;Сверхпрочная модель игрового спортивного инвентаря предназначена для профессионалов, а также для любителей. Универсальный мячик подходит как для времяпровождения в спортзале, так и для игры в баскет или стритбол на улице. ;Мяч баскетбольный оранжевый;386;https://www.wildberries.ru/catalog/77111754/detail.aspx?size=129216500
15;Баскетбольный мяч Challenger размер 6;Баскетбольный мяч 6 Challenger – рекомендован для любительской игры, тренировок команд среднего уровня, выглядит стильно. Состоит из 8 панелей из износостойкой резины, благодаря чему данным мячиком можно играть практически на любой поверхности, как на улице, так и в зале.;Мяч баскетбольный черный;1 428;https://www.wildberries.ru/catalog/198661039/detail.aspx?size=321791603
16;Волейбольный мяч Mood размер 5;Любительский мяч волейбольный Mood походит для классического и пляжного волейбола и активного отдыха. Он изготовлен из текстурной мягкой синтетической кожи (поливинилхлорида) с увеличенной толщиной, что позволяет избежать синяков и ушибов на руках даже при сильных ударах.;Мяч воллейбольный разноцветный;1 428;https://www.wildberries.ru/catalog/261822746/detail.aspx?size=406778380
17;Волейбольный мяч детский взрослый 5 размер;Давно пользуется популярностью как среди профессионалов, так и любителей. Качественный с фирменным дизайном. Поверхность: высококачественная мягкая синтетическая кожа с двойной перфорацией поверхности, благодаря чему впитывает влагу и не скользит, и два слоя плотного армирующего материала;Мяч воллейбольный желтый;780;https://www.wildberries.ru/catalog/312176399/detail.aspx?size=472065709
18;Мяч волейбольный Simple арт.V32105 р.5;Simple Color как нельзя лучше соответствует пресловутому соотношению цена/качество: прекрасные технические и игровые характеристики, обусловленные применением по-настоящему мягкого, нетравмоопасного материала покрышки, качество изготовления и более чем разумная цена делают его бестселлером среди мячей для классического волейбола любительского уровня. ;Мяч воллейбольный белый;1 447;https://www.wildberries.ru/catalog/25109644/detail.aspx?size=58943853
19;Стул для кухни деревянный со спинкой обеденный;Деревянные кухонные стулья с высокой спинкой в строгом классическом стиле - это идеальное решение для тех, кто ценит удобство в использовании и эстетичность внешнего вида. Лаконичный и изысканный дизайн станет изюминкой при оформлении интерьера спальни, большой гостиной и маленькой кухни. ;Стул деревянный коричневый;4 710;https://www.wildberries.ru/catalog/86544243/detail.aspx?size=140913767
20;Стул для кухни деревянный Ингольф (INGOLF) ультрабелый;Спинка стула имеет правильный угол наклона, который поддерживает осанку и делает время, проведённое за столом, по-настоящему комфортным. Холодно-белый цвет стула хорошо сочетается с любыми другими оттенками вашего интерьера, придавая ему безупречность и лёгкость.;Стул деревянный белый;4 897;https://www.wildberries.ru/catalog/271359369/detail.aspx?size=419325797
21;Стул для кухни деревянный Ингольф (INGOLF) черный тон 9;"При производстве стула использован наиболее экологичный и прочный материал для производства мебели – массив сосны, который со временем выглядит только лучше.
Дерево имеет оригинальный шведский цвет: пропитано морилкой и покрыто прозрачным акриловым лаком.
Покрытие устойчиво к влаге и хорошо моется.";Стул деревянный чёрный;4 591;https://www.wildberries.ru/catalog/281603238/detail.aspx?size=432043162
22;Стулья для кухни 2 шт;Конструкция стульев выполнена из прочного материала высокого качества, что обеспечивает надежность и долговечность изделия. Удобное сиденье и спинка обеспечивают комфорт при сидении за столом, а также позволяют сохранить правильную осанку.;Стул пластиковый коричневый;6 067;https://www.wildberries.ru/catalog/153461811/detail.aspx?size=256540878
23;Стул пластиковый для дома офиса и улицы 2 шт;"Дачный уголок с этими пластмассовыми изделиями станет уютнее и удобнее.
Изделия из этого комплекта обладают эргономичной формой, способствующей поддержанию правильной осанки при сидении. Высота спинки оптимальна для комфортного расположения позвоночника во время трапезы или деловой встречи. ";Стул пластиковый белый;6 659;https://www.wildberries.ru/catalog/251981512/detail.aspx?size=393724492
24;Стул пластиковый оцинкованный для дома и улицы 2 штуки;Стулья восполнят уют и добавят шарма мебели для кафе, бара, ресторана, офиса, общественных учреждений, залов ожидания и домашних интерьеров. Пластиковый материал сиденья гармонично сочетается с металлическими ножками, придавая изделиям легкость и устойчивость. Подойдет для тех, кто ценит практичность и стильный дизайн. ;Стул пластиковый черный;5 345;https://www.wildberries.ru/catalog/161137786/detail.aspx?size=267776019
25;Стул дизайнерский лофт;Этот стул идеально подойдет для использования как на кухне, так и в спальне, гостиной, кабинете или любом другом помещении. Его современный лофт-дизайн и функциональность делают его универсальным решением для любого интерьера.;Стул дизайнерский коричневый;9 200;https://www.wildberries.ru/catalog/214943189/detail.aspx?size=342999887
26;Дизайнерский стул ENIGMA, с поворотным механизмом;Удобство и функциональность: Кресло обладает возможностью вращения на 360 градусов, обеспечивая идеальное положение для расслабления и общения. Эргономичная форма кресла поддерживает правильное положение тела, обеспечивая комфорт и поддержку для спины.;Стул дизайнерский белый;15 732;https://www.wildberries.ru/catalog/175443951/detail.aspx?size=290748349
27;Дизайнерский стул Лорд, антикоготь, вращающийся механизм;Обивка кресла выполнена из нежнейшего велюра, создающего ощущение уюта и роскоши. Мягкая и приятная на ощупь ткань окутывает тело, даря непревзойденный комфорт.;Стул дизайнерский черный;17 710;https://www.wildberries.ru/catalog/237208317/detail.aspx?size=373401439
